会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
リンテック,7966,その他製品,プライム（内国株式）,2025-03-31,東京都,254068965376.0,1.0649406,315978000000.0,24564000000.0,0.075289994,14476000000.0,0.039130002,0.05213,0.7206604967823985,14.101399,94349000000.0,69989000000.0,192767000000.0,10345000000.0,55511000000.0,2109000000.0,99894300000.0,0.3931778910980533
信越ポリマー,7970,化学,プライム（内国株式）,2025-03-31,東京都,149728952320.0,1.2121148,110582000000.0,13272000000.0,0.11647,9430000000.0,0.092130005,0.08429,0.8049716317619683,14.033234,29837000000.0,26566000000.0,99414000000.0,,44901000000.0,929000000.0,70227300000.0,0.4690295291047689
東リ,7971,化学,スタンダード（内国株式）,2025-03-31,兵庫県,38034493440.0,0.77678174,105709000000.0,4377000000.0,0.03598,3507000000.0,0.03534,0.08376,0.5107746935564462,,45687000000.0,32761000000.0,52734000000.0,9780000000.0,8212000000.0,8276000000.0,12840200000.0,0.3375935588640246
イトーキ,7972,その他製品,プライム（内国株式）,2024-12-31,東京都,116256907264.0,2.1191134,138460000000.0,10077000000.0,0.029719999,7183000000.0,0.06077,0.17691,0.4087088557180906,13.784417,71181000000.0,55426000000.0,70624000000.0,37549000000.0,22482000000.0,6548000000.0,4026600000.0,0.0346353614143223
任天堂,7974,その他製品,プライム（内国株式）,2025-03-31,京都府,16189022535680.0,5.7463546,1164922000000.0,282554000000.0,0.1674,278806000000.0,0.21197,0.13779001,0.8016224733449757,40.857407,673070000000.0,597646000000.0,2752352000000.0,,1586275000000.0,369373000000.0,2337843100000.0,0.1444091571833618
リヒトラブ,7975,その他製品,スタンダード（内国株式）,2025-02-28,大阪府,4034265088.0,0.38275754,9220521000.0,178737000.0,-0.0053,411573000.0,0.04301,0.038540002,0.791923191742956,,2794973000.0,1302014000.0,7205604000.0,437500000.0,2332122000.0,1110475000.0,5187963500.0,1.285974864525313
三菱鉛筆,7976,その他製品,プライム（内国株式）,2024-12-31,東京都,117875859456.0,0.87564135,88820000000.0,12190000000.0,0.080340005,11272000000.0,0.08429,0.06136,0.7256686698967102,12.096317,46173000000.0,24396000000.0,95205000000.0,11623000000.0,41349000000.0,26130000000.0,67323000000.0,0.5711347540598839
松風,7979,精密機器,プライム（内国株式）,2025-03-31,京都府,65723179008.0,1.5407717,38698000000.0,5392000000.0,0.15737,4317000000.0,0.10455,0.09596,0.8532023842861143,13.658861,7261000000.0,5218000000.0,27521000000.0,,10653000000.0,8709000000.0,26356300000.0,0.401019859322262
重松製作所,7980,その他製品,スタンダード（内国株式）,2025-03-31,東京都,5610866176.0,0.64798063,14112597000.0,1069333000.0,0.00238,780581000.0,0.04723,0.07751,0.4746365214762261,,9480661000.0,7319801000.0,10433841000.0,5038672000.0,1475776000.0,1931600000.0,2305300000.0,0.4108634794857028
タカラスタンダード,7981,その他製品,プライム（内国株式）,2025-03-31,大阪府,166155534336.0,0.86644316,243380000000.0,15635000000.0,0.07317,11090000000.0,0.056500003,0.07397,0.7024058010790354,,82408000000.0,63067000000.0,160391000000.0,6750000000.0,68059000000.0,14745000000.0,88304500000.0,0.5314568687277698
ミロク,7983,その他製品,スタンダード（内国株式）,2024-10-31,高知県,4294713600.0,0.31302577,10918396000.0,-519127000.0,0.01764,-2294180000.0,-0.15711,-0.13232,0.5888802376885368,,9299469000.0,3799307000.0,10490484000.0,5480000000.0,1299638000.0,4308756000.0,4207144200.0,0.9796099558303492
コクヨ,7984,その他製品,プライム（内国株式）,2024-12-31,大阪府,389914066944.0,1.5491732,338227000000.0,22029000000.0,0.04709,21787000000.0,0.06283,0.08592,0.7178524296132621,4.1786633,98899000000.0,87742000000.0,252884000000.0,4176000000.0,102238000000.0,22362000000.0,169638400000.0,0.435066119387695
ネポン,7985,金属製品,スタンダード（内国株式）,2025-03-31,東京都,1367304320.0,0.6595776,7277473000.0,38807000.0,-0.25147,-280180000.0,-0.05238,-0.16863,0.3872721879238704,,3691133000.0,2638282000.0,4533781000.0,1932990000.0,521373000.0,80156000.0,898757200.0,0.6573205297852054
日本アイ・エス・ケイ,7986,その他製品,スタンダード（内国株式）,2024-12-31,,2620973568.0,0.593652,5901003000.0,518714000.0,0.10654,433582000.0,0.06414,0.089329995,0.6903382755842062,,1851660000.0,1276746000.0,2808132000.0,,1170233000.0,215922000.0,1107617400.0,0.4225976993904579
ナカバヤシ,7987,その他製品,スタンダード（内国株式）,2025-03-31,東京都,15160840192.0,0.5264538,62767000000.0,1793000000.0,0.03906,1995000000.0,0.03864,0.08394,0.507493284320656,7.340426,27209000000.0,15829000000.0,29789000000.0,13578000000.0,7739000000.0,3081000000.0,4736700000.0,0.3124299141745085
ニフコ,7988,化学,プライム（内国株式）,2025-03-31,神奈川県,433016242176.0,1.5595015,353038000000.0,49205000000.0,0.13858,44767000000.0,0.13675,0.17886999,0.7239479116203635,13.266576,101092000000.0,67223000000.0,259565000000.0,35484000000.0,146232000000.0,684000000.0,158951800000.0,0.367080456846683
立川ブラインド工業,7989,金属製品,プライム（内国株式）,2024-12-31,東京都,39217999872.0,0.7185501,41407715000.0,4361317000.0,0.10349,2802387000.0,0.07507,0.05998,0.8299877832672191,14.603292,10854050000.0,7916845000.0,39563568000.0,137997000.0,15537861000.0,3626611000.0,31248145700.0,0.7967807078889267
グローブライド,7990,その他製品,プライム（内国株式）,2025-03-31,東京都,53494648832.0,0.8963217,123983000000.0,6509000000.0,0.07488,4783000000.0,0.0395,0.08417,0.5354563563449372,13.470333,52690000000.0,29118000000.0,73233000000.0,29556000000.0,12299000000.0,6692000000.0,25227400000.0,0.4715873559470719
マミヤ・オーピー,7991,機械,スタンダード（内国株式）,2025-03-31,東京都,17476024320.0,0.6708179,33707297000.0,6399609000.0,0.07995,4718416000.0,0.08952,0.09363,0.6180832731584162,,15505327000.0,8157146000.0,26490269000.0,7892281000.0,14238023000.0,5991783000.0,15179190100.0,0.8685722691875952
セーラー万年筆,7992,その他製品,スタンダード（内国株式）,2024-12-31,東京都,3112541952.0,2.8041127,4677810000.0,-270061000.0,-0.09378,-1145770000.0,-0.21936001,-0.6284,0.2639843937123942,,3498937000.0,2446845000.0,3886829000.0,1926387000.0,579828000.0,12159000.0,396403300.0,0.1273567733746645
オカムラ,7994,その他製品,プライム（内国株式）,2025-03-31,神奈川県,218045562880.0,1.1777208,314527000000.0,23938000000.0,0.04142,22045000000.0,0.062179998,0.11018,0.640307251749993,10.303193,102351000000.0,53723000000.0,139618000000.0,35839000000.0,26245000000.0,43971000000.0,68046700000.0,0.3120756006277874
バルカー,7995,化学,プライム（内国株式）,2025-03-31,東京都,68371107840.0,1.3333063,60113000000.0,5670000000.0,0.11034001,4676000000.0,0.09158,0.10321999,0.6487156753144957,10.656413,27304000000.0,18569000000.0,46430000000.0,14505000000.0,7969000000.0,3949000000.0,21890300000.0,0.3201688650595953
くろがね工作所,7997,その他製品,スタンダード（内国株式）,2024-11-30,大阪府,1794431872.0,0.38363495,7203796000.0,-27217000.0,-0.10985,209383000.0,0.049640004,0.067719996,0.5677775774452423,,3478727000.0,2032712000.0,4138242000.0,883315000.0,907857000.0,1313701000.0,1579105700.0,0.8800031501000892
ＭＵＴＯＨホールディングス,7999,電気機器,スタンダード（内国株式）,2025-03-31,東京都,12830629888.0,0.5447667,18128000000.0,1319000000.0,0.07004,1373000000.0,0.03888,0.03254,0.7903925757778074,42.549316,5351000000.0,3994000000.0,18607000000.0,,10648000000.0,3857000000.0,15955900000.0,1.243578853047811
伊藤忠商事,8001,卸売業,プライム（内国株式）,2025-03-31,東京都,13342120869888.0,2.2055116,14724234000000.0,698080000000.0,0.0497,880251000000.0,0.064169995,0.15312,0.3802677156946648,14.692477,8843552000000.0,4486584000000.0,5723799000000.0,4621705000000.0,549573000000.0,147917000000.0,-3016211100000.0,-0.2260668397036729
丸紅,8002,卸売業,プライム（内国株式）,2025-03-31,東京都,6511652765696.0,1.8075868,7790168000000.0,272310000000.0,0.02011,502965000000.0,0.07039,0.15471,0.3943975499170069,12.723997,5433341000000.0,2822988000000.0,4021442000000.0,2535010000000.0,569144000000.0,139253000000.0,-1314421900000.0,-0.2018568783219674
スクロール,8005,小売業,プライム（内国株式）,2025-03-31,静岡県,41571799040.0,1.1067278,84030000000.0,6052000000.0,0.06612,4267000000.0,0.03548,0.083129995,0.6508602227298687,,19563000000.0,17903000000.0,38679000000.0,,8125000000.0,2368000000.0,20773600000.0,0.4997041378943411
ユアサ・フナショク,8006,卸売業,スタンダード（内国株式）,2025-03-31,千葉県,28170465280.0,0.71905464,123092000000.0,2731000000.0,0.02421,2050000000.0,0.017760001,0.05666,0.6045806511801474,,25007000000.0,22628000000.0,33314000000.0,2053000000.0,10627000000.0,11927000000.0,16655900000.0,0.5912539901080398
高島,8007,卸売業,プライム（内国株式）,2025-03-31,,29052897280.0,1.2524422,94503000000.0,2133000000.0,0.021760002,1566000000.0,0.01926,0.07616,0.3984244887082806,,36121000000.0,27808000000.0,41351000000.0,12093000000.0,9080000000.0,2567000000.0,7026900000.0,0.2418657227978882
ヨンドシーホールディングス,8008,小売業,プライム（内国株式）,2025-02-28,東京都,36936654848.0,0.9418774,45902000000.0,1960000000.0,0.03426,1377000000.0,0.025239998,0.03827,0.5855114747195236,23.056301,27561000000.0,12305000000.0,19939000000.0,14915000000.0,1708000000.0,21475000000.0,7410500000.0,0.200627263906148
三陽商会,8011,繊維製品,プライム（内国株式）,2025-02-28,東京都,34432217088.0,0.89334565,60526000000.0,2715000000.0,-0.01987,4007000000.0,0.05449,0.08243,0.6889524176999842,,17717000000.0,12036000000.0,38218000000.0,7626000000.0,23714000000.0,6298000000.0,24909600000.0,0.7234387473899049
長瀬産業,8012,卸売業,プライム（内国株式）,2025-03-31,,371959824384.0,0.95089173,944961000000.0,39083000000.0,0.04458,25521000000.0,0.026099999,0.062319998,0.49378884677588,11.650008,401685000000.0,269576000000.0,560126000000.0,172774000000.0,66310000000.0,72028000000.0,208860600000.0,0.5615138687246467
ナイガイ,8013,繊維製品,スタンダード（内国株式）,2025-01-31,東京都,2203622656.0,0.36752582,13162000000.0,64000000.0,-0.036730003,100000000.0,-0.00137,-0.00294,0.5520693135935397,,5325000000.0,3624000000.0,8548000000.0,1667000000.0,3537000000.0,2921000000.0,5267700000.0,2.3904727906373457
蝶理,8014,卸売業,プライム（内国株式）,2025-03-31,大阪府,94393942016.0,1.0006733,311546000000.0,14493000000.0,0.04524,11658000000.0,0.03222,0.10629,0.6298639064596512,,53976000000.0,50556000000.0,121566000000.0,1403000000.0,22812000000.0,10382000000.0,74857400000.0,0.7930318238781837
豊田通商,8015,卸売業,プライム（内国株式）,2025-03-31,愛知県,5093579554816.0,1.7949735,10309550000000.0,499972000000.0,0.04782,362506000000.0,0.03452,0.14093,0.371842880627625,13.71323,4311620000000.0,2555043000000.0,4240816000000.0,1853814000000.0,951884000000.0,67956000000.0,-23234800000.0,-0.004561585766935
オンワードホールディングス,8016,繊維製品,プライム（内国株式）,2025-02-28,東京都,89763610624.0,1.0729823,208393000000.0,10157000000.0,0.0073,8516000000.0,0.04085,0.11188,0.47029874231383,11.28591,94932000000.0,62728000000.0,80101000000.0,52074000000.0,13505000000.0,13789000000.0,-5178700000.0,-0.0576926436447886
三共生興,8018,卸売業,スタンダード（内国株式）,2025-03-31,大阪府,26143705088.0,0.49888587,22594000000.0,1776000000.0,0.04201,2108000000.0,0.09038,0.040999997,0.7280122595706285,,18645000000.0,6905000000.0,16212000000.0,5591000000.0,9013000000.0,31166000000.0,19383200000.0,0.7414098321089507
兼松,8020,卸売業,プライム（内国株式）,2025-03-31,東京都,261975605248.0,1.3794811,1050936000000.0,42193000000.0,0.05552,27469000000.0,0.02722,0.14227,0.2523323135128391,8.934844,501210000000.0,368387000000.0,521367000000.0,203256000000.0,56779000000.0,6768000000.0,24894600000.0,0.0950264051358272
美津濃,8022,その他製品,プライム（内国株式）,2025-03-31,大阪府,230655967232.0,4.4247265,240335000000.0,20782000000.0,0.098900005,15243000000.0,0.06166,0.09939,0.7156202655632807,4.70826,61359000000.0,42571000000.0,147421000000.0,16022000000.0,32399000000.0,9569000000.0,92760300000.0,0.4021586829648295
ＤＡＩＫＯ　ＸＴＥＣＨ,8023,情報・通信業,スタンダード（内国株式）,2025-03-31,東京都,13975445504.0,1.1426973,42690259000.0,2410285000.0,-0.01673,1683249000.0,0.03234,0.11447,0.4718782761591346,,14120258000.0,9712760000.0,21490511000.0,2360438000.0,8464484000.0,2359370000.0,9021812000.0,0.6455473635826358
ツカモトコーポレーション,8025,卸売業,スタンダード（内国株式）,2025-03-31,東京都,5391087104.0,0.38725826,9681223000.0,-332257000.0,-0.097550005,-380071000.0,-0.03466,-0.024360001,0.4863476039882448,,14843849000.0,9250630000.0,6126087000.0,7996301000.0,2073674000.0,8066425000.0,-3071264500.0,-0.5696929841332424
ルックホールディングス,8029,繊維製品,スタンダード（内国株式）,2024-12-31,東京都,20280563712.0,0.54220307,54739000000.0,2531000000.0,0.027460001,1925000000.0,0.03408,0.0463,0.6151278293437551,,23635000000.0,8521000000.0,29826000000.0,11247000000.0,8144000000.0,6186000000.0,10521200000.0,0.518782423871907
中央魚類,8030,卸売業,スタンダード（内国株式）,2025-03-31,東京都,14099717120.0,0.4369566,149902000000.0,3229000000.0,0.02499,2901000000.0,0.01787,0.0875,0.428517924023542,,40950000000.0,21449000000.0,29590000000.0,19236000000.0,5529000000.0,12514000000.0,-2600200000.0,-0.1844150473282686
三井物産,8031,卸売業,プライム（内国株式）,2025-03-31,東京都,11583227953152.0,1.4435375,14662620000000.0,400654000000.0,0.02628,900342000000.0,0.06475,0.11768,0.448895753498392,13.714479,9048877000000.0,3654185000000.0,5686941000000.0,4841260000000.0,977356000000.0,222638000000.0,-3206089400000.0,-0.2767872144938291
日本紙パルプ商事,8032,卸売業,プライム（内国株式）,2025-03-31,東京都,88696954880.0,0.6634753,554524000000.0,15072000000.0,0.0133299995,7569000000.0,0.00493,0.02527,0.3418112657240321,1.072386,246669000000.0,192050000000.0,233953000000.0,112639000000.0,19577000000.0,37017000000.0,13195900000.0,0.1487751188059727
東京エレクトロン,8035,電気機器,プライム（内国株式）,2025-03-31,東京都,15026022776832.0,7.5004225,2431568000000.0,697320000000.0,0.25149,544133000000.0,0.21765,0.28496,0.7064811207697238,25.620998,770775000000.0,677925000000.0,1800756000000.0,,416240000000.0,200013000000.0,1169990100000.0,0.0778642570543656
カメイ,8037,卸売業,プライム（内国株式）,2025-03-31,宮城県,91339890688.0,0.57803994,575787000000.0,15912000000.0,0.02802,10690000000.0,0.01942,0.07344,0.4930279691933522,10.030242,154247000000.0,122319000000.0,187829000000.0,57421000000.0,62262000000.0,21859000000.0,48883300000.0,0.5351801894199351
築地魚市場,8039,卸売業,スタンダード（内国株式）,2025-03-31,東京都,7787286016.0,1.1676701,62414000000.0,303000000.0,0.00871,287000000.0,0.00561,0.053839996,0.3936875075292133,,10066000000.0,5931000000.0,7175000000.0,4960000000.0,856000000.0,2291000000.0,-1287300000.0,-0.1653079130977176
東京ソワール,8040,繊維製品,スタンダード（内国株式）,2024-12-31,東京都,3721860352.0,0.3597043,15700503000.0,243029000.0,-0.053740002,500571000.0,0.03145,,0.7328119140474907,,3821048000.0,2928381000.0,8524874000.0,791234000.0,1862030000.0,1563397000.0,5798203900.0,1.5578778760154837
ＯＵＧホールディングス,8041,卸売業,スタンダード（内国株式）,2025-03-31,,20569276416.0,0.5728777,350092000000.0,5101000000.0,0.014780001,4527000000.0,0.01422,0.14918,0.3938517779993353,,54717000000.0,46320000000.0,68521000000.0,24520000000.0,2793000000.0,7108000000.0,18779600000.0,0.91299273830518
